2025-12-23 06:19:52 | INFO | main | ================================================================================
2025-12-23 06:19:52 | INFO | main | VIX FORECASTING SYSTEM - STARTING
2025-12-23 06:19:52 | INFO | main | ================================================================================
2025-12-23 06:19:52 | INFO | data_fetcher | DataFetcher initialized. Last processed date: 2007-01-01 00:00:00
2025-12-23 06:19:52 | INFO | feature_engineering | No existing processed features found
2025-12-23 06:19:52 | INFO | feature_engineering | FeatureEngineer initialized
2025-12-23 06:19:52 | INFO | predictor | No historical predictions found
2025-12-23 06:19:52 | INFO | predictor | DailyPredictor initialized
2025-12-23 06:19:52 | INFO | main | VIX Forecasting Pipeline initialized
2025-12-23 06:19:52 | INFO | main | Step 1/5: Fetching market data
2025-12-23 06:19:52 | WARNING | data_fetcher | No existing data found. Performing initial fetch.
2025-12-23 06:19:52 | INFO | data_fetcher | Fetching initial historical data from 2007-01-01
2025-12-23 06:20:09 | WARNING | data_fetcher | Failed to fetch VVIX: "None of [Index(['CLOSE'], dtype='object')] are in the [columns]". Using NaN.
2025-12-23 06:20:10 | WARNING | data_fetcher | Failed to fetch SKEW: "None of [Index(['CLOSE'], dtype='object')] are in the [columns]". Using NaN.
2025-12-23 06:20:10 | INFO | data_fetcher | Initial data fetched: 4774 records from 2007-01-03 00:00:00 to 2025-12-22 00:00:00
2025-12-23 06:20:10 | ERROR | main | Pipeline failed: Data validation failed: VVIX has 100.0% missing data; SKEW has 100.0% missing data
Traceback (most recent call last):
  File "C:\Users\mahi2\Downloads\Auto_job_applier_linkedIn-main\main.py", line 75, in run
    df_raw, data_updated = self._fetch_data()
                           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\mahi2\Downloads\Auto_job_applier_linkedIn-main\main.py", line 130, in _fetch_data
    raise ValueError(f"Data validation failed: {message}")
ValueError: Data validation failed: VVIX has 100.0% missing data; SKEW has 100.0% missing data
2025-12-23 06:20:10 | INFO | main | Pipeline execution completed
2025-12-23 06:31:53 | INFO | main | ================================================================================
2025-12-23 06:31:53 | INFO | main | VIX FORECASTING SYSTEM - STARTING
2025-12-23 06:31:53 | INFO | main | ================================================================================
2025-12-23 06:31:53 | INFO | data_fetcher | DataFetcher initialized. Last processed date: 2025-12-23 00:00:00
2025-12-23 06:31:53 | INFO | feature_engineering | No existing processed features found
2025-12-23 06:31:53 | INFO | feature_engineering | FeatureEngineer initialized
2025-12-23 06:31:53 | INFO | predictor | No historical predictions found
2025-12-23 06:31:53 | INFO | predictor | DailyPredictor initialized
2025-12-23 06:31:53 | INFO | main | VIX Forecasting Pipeline initialized
2025-12-23 06:31:53 | INFO | main | Step 1/5: Fetching market data
2025-12-23 06:31:53 | INFO | data_fetcher | Fetching incremental data from 2025-12-23 to 2025-12-23
2025-12-23 06:31:55 | WARNING | data_fetcher | Failed to fetch VVIX: "None of [Index(['CLOSE'], dtype='object')] are in the [columns]". Using NaN.
2025-12-23 06:31:56 | WARNING | data_fetcher | Failed to fetch SKEW: "None of [Index(['CLOSE'], dtype='object')] are in the [columns]". Using NaN.
2025-12-23 06:31:56 | INFO | data_fetcher | Added 1 new records. Total records: 4774
2025-12-23 06:31:56 | ERROR | main | Pipeline failed: Data validation failed: VVIX has 100.0% missing data; SKEW has 100.0% missing data
Traceback (most recent call last):
  File "C:\Users\mahi2\Downloads\Auto_job_applier_linkedIn-main\main.py", line 75, in run
    df_raw, data_updated = self._fetch_data()
                           ^^^^^^^^^^^^^^^^^^
  File "C:\Users\mahi2\Downloads\Auto_job_applier_linkedIn-main\main.py", line 130, in _fetch_data
    raise ValueError(f"Data validation failed: {message}")
ValueError: Data validation failed: VVIX has 100.0% missing data; SKEW has 100.0% missing data
2025-12-23 06:31:56 | INFO | main | Pipeline execution completed
2025-12-23 06:57:05 | INFO | main | ================================================================================
2025-12-23 06:57:05 | INFO | main | VIX FORECASTING SYSTEM - STARTING
2025-12-23 06:57:05 | INFO | main | ================================================================================
2025-12-23 06:57:05 | INFO | data_fetcher | DataFetcher initialized. Last processed date: 2025-12-23 00:00:00
2025-12-23 06:57:05 | INFO | feature_engineering | No existing processed features found
2025-12-23 06:57:05 | INFO | feature_engineering | FeatureEngineer initialized
2025-12-23 06:57:05 | INFO | predictor | No historical predictions found
2025-12-23 06:57:05 | INFO | predictor | DailyPredictor initialized
2025-12-23 06:57:05 | INFO | main | VIX Forecasting Pipeline initialized
